text,labels,affiliate,encoded_column
awokwowkowowko sih kemed disuruh naikin bowo bikin anies tenar sih awokwowkowowko ,1,anies,"['aw', '##ok', '##wo', '##w', '##ko', '##wo', '##w', '##ko', 'sih', 'kem', '##ed', 'disuruh', 'naik', '##in', 'bow', '##o', 'bikin', 'anies', 'tenar', 'sih', 'aw', '##ok', '##wo', '##w', '##ko', '##wo', '##w', '##ko']"
kontrak berjalan terlanjur basah mandi uang persetan moral efek orang ,2,anies,"['kontrak', 'berjalan', 'terlanjur', 'basah', 'mandi', 'uang', 'perse', '##tan', 'moral', 'efek', 'orang']"
lucu buzzer anies nih ,2,anies,"['lucu', 'bu', '##zz', '##er', 'anies', 'nih']"
tokoh pdip bahagia anies balas skakmat prabowo ,2,anies,"['tokoh', 'pdip', 'bahagia', 'anies', 'balas', 'sk', '##akm', '##at', 'prabowo']"
ditampar fakta sakit calon rekam jejak prestasi anies catatan buruk anies silakan check amp recheck ya biar pintar ,2,anies,"['dita', '##mp', '##ar', 'fakta', 'sakit', 'calon', 'rekam', 'jejak', 'prestasi', 'anies', 'catatan', 'buruk', 'anies', 'silakan', 'check', 'amp', 'rec', '##he', '##ck', 'ya', 'biar', 'pintar']"
capres boneka anus anies gagal paham mengobati luka luka berdarah pertiwi menyiramnyah pakai air garam ,0,anies,"['capres', 'boneka', 'anus', 'anies', 'gagal', 'paham', 'mengobati', 'luka', 'luka', 'berdarah', 'pertiwi', 'menyiram', '##nyah', 'pakai', 'air', 'garam']"
irma munafik kalo bicara independent pendapat anies relevan anies vs surabaya anies berpindah cak imin itukan demokrat main mata pdip menekan kubu anies ,0,anies,"['irma', 'munafik', 'kalo', 'bicara', 'independent', 'pendapat', 'anies', 'relevan', 'anies', 'vs', 'surabaya', 'anies', 'berpindah', 'cak', 'im', '##in', 'ituk', '##an', 'demokrat', 'main', 'mata', 'pdip', 'menekan', 'kubu', 'anies']"
radjamantak kuat kepempinan bijaksana anies presiden indonesia memimpin suku bangsa asli memiliki kekuatan politik area politik kendalikan nasdem pks pkb ganjar setir petugas partai pdip ,2,anies,"['rad', '##jam', '##anta', '##k', 'kuat', 'kepem', '##pin', '##an', 'bijaksana', 'anies', 'presiden', 'indonesia', 'memimpin', 'suku', 'bangsa', 'asli', 'memiliki', 'kekuatan', 'politik', 'area', 'politik', 'kendali', '##kan', 'nasdem', 'pks', 'pkb', 'ganja', '##r', 'seti', '##r', 'petugas', 'partai', 'pdip']"
bang lihat kinerja anies bdg pendidikan mantan mendikbud dikenal akademisi gebrakannya coba lihat gubernur kerjakan bid pendidikan gue memilih anies sih btw gue dendam kecewa ,0,anies,"['bang', 'lihat', 'kinerja', 'anies', 'bd', '##g', 'pendidikan', 'mantan', 'mendikbud', 'dikenal', 'akademisi', 'gebr', '##akannya', 'coba', 'lihat', 'gubernur', 'kerjakan', 'bid', 'pendidikan', 'gue', 'memilih', 'anies', 'sih', 'btw', 'gue', 'dendam', 'kecewa']"
beda level ya anies elit banget ,1,anies,"['beda', 'level', 'ya', 'anies', 'elit', 'banget']"
takut banget loh lihatnya sabar ya anies ,2,anies,"['takut', 'banget', 'loh', 'lihat', '##nya', 'sabar', 'ya', 'anies']"
asli ya kalo gue diposisi anies mengomong serius tbtb orang sebelah ngenyek mukanya merendahkan gue langsung badmood sih ,2,anies,"['asli', 'ya', 'kalo', 'gue', 'dip', '##osisi', 'anies', 'meng', '##omong', 'serius', 'tb', '##tb', 'orang', 'sebelah', 'nge', '##nye', '##k', 'mukanya', 'merendahkan', 'gue', 'langsung', 'badm', '##ood', 'sih']"
ya segitu doang kapabelitas cuan cair bibir auto njedir ,0,anies,"['ya', 'segitu', 'doang', 'kap', '##abel', '##itas', 'cu', '##an', 'cair', 'bibir', 'auto', 'nj', '##edi', '##r']"
huhu jaman ahok vs anies banget anies tau data doang ahok paham lapangan ,0,anies,"['huh', '##u', 'jaman', 'ahok', 'vs', 'anies', 'banget', 'anies', 'tau', 'data', 'doang', 'ahok', 'paham', 'lapangan']"
ya gosah jejak anies lho rangka memilih presiden lurr memilih orang tuwak ,1,anies,"['ya', 'gos', '##ah', 'jejak', 'anies', 'lho', 'rangka', 'memilih', 'presiden', 'lur', '##r', 'memilih', 'orang', 'tu', '##wak']"
selamat post anies biar teamline gambar anies lu pakai caption medsos tau lu pemakaian tahi ,2,anies,"['selamat', 'post', 'anies', 'biar', 'team', '##line', 'gambar', 'anies', 'lu', 'pakai', 'cap', '##tion', 'medsos', 'tau', 'lu', 'pemakaian', 'tahi']"
merasai bang anies ahok duluan banjir doi jagonya sodetan ciliwung program unggulan efektif warga melayu bukit duri naturalisasi piye kabare jordi elkan bagott ,0,anies,"['merasa', '##i', 'bang', 'anies', 'ahok', 'duluan', 'banjir', 'doi', 'jago', '##nya', 'sod', '##etan', 'cili', '##wung', 'program', 'unggulan', 'efektif', 'warga', 'melayu', 'bukit', 'duri', 'natural', '##isasi', 'pi', '##ye', 'kabar', '##e', 'jo', '##rd', '##i', 'el', '##kan', 'bag', '##ott']"
ngeri ditampol anies ,0,anies,"['ngeri', 'dita', '##mp', '##ol', 'anies']"
manuver anies oportunis berhasil langkah lumayan bikin hapus citra liberalnya pasca isu nyalonin pilgub sowan tokoh agama cap liberalnya tertutupi pasca peristiwa kep seribu ,2,anies,"['manuver', 'anies', 'op', '##ort', '##uni', '##s', 'berhasil', 'langkah', 'lumayan', 'bikin', 'hapus', 'citra', 'liberal', '##nya', 'pasca', 'isu', 'nya', '##lon', '##in', 'pilgub', 'so', '##wan', 'tokoh', 'agama', 'cap', 'liberal', '##nya', 'tertutup', '##i', 'pasca', 'peristiwa', 'kep', 'seribu']"
basi banget pertanyaanya ,0,anies,"['basi', 'banget', 'pertanyaan', '##ya']"
bantu up ya point nyebar hoax anies membawa orang meninggal lokasi debat pilpres ,0,anies,"['bantu', 'up', 'ya', 'point', 'ny', '##ebar', 'hoax', 'anies', 'membawa', 'orang', 'meninggal', 'lokasi', 'debat', 'pilpres']"
yaelahh sron knape bowo mengomong kalo anies kagak gubernur songgong lo ,1,anies,"['ya', '##elah', '##h', 'sr', '##on', 'kn', '##ape', 'bow', '##o', 'meng', '##omong', 'kalo', 'anies', 'kagak', 'gubernur', 'song', '##gon', '##g', 'lo']"
anies buktinya zaman demokrasi berjalan buktinya apapun capres kalo zaman mah bermimpi begal kalo pakde capres segan pilih beliau anaknya ya ,1,anies,"['anies', 'buktinya', 'zaman', 'demokrasi', 'berjalan', 'buktinya', 'apapun', 'capres', 'kalo', 'zaman', 'mah', 'bermimpi', 'beg', '##al', 'kalo', 'pak', '##de', 'capres', 'segan', 'pilih', 'beliau', 'anaknya', 'ya']"
gegara pungutan sih tol harga angkut transportasi jalan bentuk apapun ,1,anies,"['geg', '##ara', 'pungutan', 'sih', 'tol', 'harga', 'angkut', 'transportasi', 'jalan', 'bentuk', 'apapun']"
alhamdulillah semoga terwujud anies presiden amanah sesuai mandat kepercayaan pendukungnya ,2,anies,"['alhamdulillah', 'semoga', 'terwujud', 'anies', 'presiden', 'amanah', 'sesuai', 'mandat', 'kepercayaan', 'pendukungnya']"
wisata upaya mengangkut hasil bumi bahan baku hasil pertanian lekas layu busuk distributor wilayah fungsinya ,0,anies,"['wisata', 'upaya', 'mengangkut', 'hasil', 'bumi', 'bahan', 'baku', 'hasil', 'pertanian', 'lekas', 'layu', 'busuk', 'distributor', 'wilayah', 'fungsinya']"
wkwkwk nomer gagal memajukan jateng jauhlah anies btw orang jateng ,0,anies,"['wkwkwk', 'nomer', 'gagal', 'memajukan', 'jateng', 'jauh', '##lah', 'anies', 'btw', 'orang', 'jateng']"
bukti kebohongan anies baswedan malu menjijikkan biarkan non pribumi memimpin negeri ,0,anies,"['bukti', 'kebohongan', 'anies', 'baswedan', 'malu', 'menjij', '##ikkan', 'biarkan', 'non', 'pribumi', 'memimpin', 'negeri']"
thread pendukung anies kemampuan introspeksi instead of bercermin ya suka menyerang pertanyaannya gunanya setuju tweet memilih anies memilih ya malas ,2,anies,"['thread', 'pendukung', 'anies', 'kemampuan', 'intr', '##ospeksi', 'inst', '##ead', 'of', 'berc', '##ermin', 'ya', 'suka', 'menyerang', 'pertanyaannya', 'gunanya', 'setuju', 'tweet', 'memilih', 'anies', 'memilih', 'ya', 'malas']"
kalo pendukung amin lu bilang jijik jijik lu memilih anies gaslighting mulu kayak tiri ,0,anies,"['kalo', 'pendukung', 'amin', 'lu', 'bilang', 'jijik', 'jijik', 'lu', 'memilih', 'anies', 'gas', '##light', '##ing', 'mulu', 'kayak', 'tiri']"
kalo kejadian gue vote anies ,1,anies,"['kalo', 'kejadian', 'gue', 'vote', 'anies']"
coba cek data bro terparah curah hujan era anies ba dq cy ,1,anies,"['coba', 'cek', 'data', 'bro', 'terp', '##arah', 'curah', 'hujan', 'era', 'anies', 'ba', 'd', '##q', 'cy']"
sih logikanya anies prabowo kontrak politik anis menjabat gubernur dki anies menuntaskan periodenya kaya jokowi mega rekomendasi capres jabtn jokowi gubernur dki habis ,2,anies,"['sih', 'logika', '##nya', 'anies', 'prabowo', 'kontrak', 'politik', 'anis', 'menjabat', 'gubernur', 'dki', 'anies', 'menuntaskan', 'periode', '##nya', 'kaya', 'jokowi', 'mega', 'rekomendasi', 'capres', 'jab', '##tn', 'jokowi', 'gubernur', 'dki', 'habis']"
anies loh meredam emosi ,0,anies,"['anies', 'loh', 'meredam', 'emosi']"
hehee iya ngutip bpk anies acara debat kemarin ,1,anies,"['hehe', '##e', 'iya', 'ng', '##utip', 'bpk', 'anies', 'acara', 'debat', 'kemarin']"
yaampun salah fokus mimik wajah prabowo anies ,0,anies,"['yaa', '##mp', '##un', 'salah', 'fokus', 'mim', '##ik', 'wajah', 'prabowo', 'anies']"
anies muhaimin sungguh anugerah terbesar abad nkri hatimu diselimuti dendam kebencian merasakannya amin amin indonesia ,0,anies,"['anies', 'muh', '##aim', '##in', 'sungguh', 'anugerah', 'terbesar', 'abad', 'nkri', 'hatimu', 'disel', '##imuti', 'dendam', 'kebencian', 'merasakannya', 'amin', 'amin', 'indonesia']"
tkn wowo plongo goblok ungkit anies gubernur gus dur salah wowo ikhlas pecundang mati dibawa debat kayak anak mutung kalah rebutan mainan ,0,anies,"['tk', '##n', 'wow', '##o', 'pl', '##ongo', 'gob', '##lok', 'ung', '##kit', 'anies', 'gubernur', 'gus', 'dur', 'salah', 'wow', '##o', 'ikhlas', 'pec', '##undang', 'mati', 'dibawa', 'debat', 'kayak', 'anak', 'mutu', '##ng', 'kalah', 'reb', '##utan', 'mainan']"
anies baswedan samasekali program tau bikin program lakukan menambah plus kjp plus bansos plus rumah sakit rumah sehat menganti nama jalan anies layak presiden ,2,anies,"['anies', 'baswedan', 'sama', '##sek', '##ali', 'program', 'tau', 'bikin', 'program', 'lakukan', 'menambah', 'plus', 'kj', '##p', 'plus', 'ban', '##sos', 'plus', 'rumah', 'sakit', 'rumah', 'sehat', 'mengant', '##i', 'nama', 'jalan', 'anies', 'layak', 'presiden']"
ketinggian mas harapannya memangnya anies berani ngangkat stafsus lgbtq ,2,anies,"['ketinggian', 'mas', 'harapannya', 'memangnya', 'anies', 'berani', 'ngan', '##g', '##kat', 'staf', '##sus', 'lg', '##bt', '##q']"
obat sakit kepala memikirkan debat ,0,anies,"['obat', 'sakit', 'kepala', 'memikirkan', 'debat']"
bisikin pemimpin hebat beliau memegang komitme nnya prabowo rakyat indonesia anies presiden ri pemuda memaksa soekarno memproklamasikan indonesia rakyat indonesia butuh presiden ,0,anies,"['bisik', '##in', 'pemimpin', 'hebat', 'beliau', 'memegang', 'kom', '##it', '##me', 'nn', '##ya', 'prabowo', 'rakyat', 'indonesia', 'anies', 'presiden', 'ri', 'pemuda', 'memaksa', 'soekarno', 'mempr', '##oklam', '##asikan', 'indonesia', 'rakyat', 'indonesia', 'butuh', 'presiden']"
kocak ya ngetrigger politik identitas bawa agama mulu ahok disalahin anies ,1,anies,"['kocak', 'ya', 'nget', '##ri', '##gg', '##er', 'politik', 'identitas', 'bawa', 'agama', 'mulu', 'ahok', 'disalah', '##in', 'anies']"
dki anies mah lempar taudah nih verifikasi sengaja ,1,anies,"['dki', 'anies', 'mah', 'lempar', 'tau', '##dah', 'nih', 'verifikasi', 'sengaja']"
maksud nasdrun kemampuan anies warga angin jakarta ktp mengendalikan angin ,1,anies,"['maksud', 'nas', '##dr', '##un', 'kemampuan', 'anies', 'warga', 'angin', 'jakarta', 'ktp', 'mengendalikan', 'angin']"
hasil polling ketua dpp psi debat anies muhaimin dukungan luas netizen ku ,2,anies,"['hasil', 'polling', 'ketua', 'dpp', 'psi', 'debat', 'anies', 'muh', '##aim', '##in', 'dukungan', 'luas', 'netizen', 'ku']"
lihat anies i rooting for you but i can t defend you on this gimmick gemoy gaya kampanye jelek isu genosida isn t much better ,0,anies,"['lihat', 'anies', 'i', 'root', '##ing', 'for', 'you', 'but', 'i', 'can', 't', 'def', '##end', 'you', 'on', 'this', 'gim', '##mic', '##k', 'gem', '##oy', 'gaya', 'kampanye', 'jelek', 'isu', 'gen', '##osida', 'is', '##n', 't', 'much', 'better']"
anies menang indonesia sejahtera ,2,anies,"['anies', 'menang', 'indonesia', 'sejahtera']"
tunjukkan anies korupsi ,0,anies,"['tunjukkan', 'anies', 'korupsi']"
wakanda no more indonesia forever anies baswedan ,0,anies,"['wak', '##anda', 'no', 'more', 'indonesia', 'fore', '##ver', 'anies', 'baswedan']"
suara anies prabowo beliau tau bersaing politik baperan kalo ikhlas ungkit jasa anies menuntaskan janjinya pengabdian rakyat pibadi ,2,anies,"['suara', 'anies', 'prabowo', 'beliau', 'tau', 'bersaing', 'politik', 'baper', '##an', 'kalo', 'ikhlas', 'ung', '##kit', 'jasa', 'anies', 'menuntaskan', 'janjinya', 'pengabdian', 'rakyat', 'pi', '##ba', '##di']"
followermu mengakui anies ri pq ,1,anies,"['follower', '##mu', 'mengakui', 'anies', 'ri', 'p', '##q']"
pilih anies muhaimin no ,0,anies,"['pilih', 'anies', 'muh', '##aim', '##in', 'no']"
sih pandai beretorika nihil pelaksanaannya ,1,anies,"['sih', 'pandai', 'ber', '##eto', '##rika', 'nihil', 'pelaksanaannya']"
isinya orang goblok ya anies bilang tegesin mbak nana anies tanggung amanat rakyat tuntas kayak deh meninggalkan presiden ,1,anies,"['isinya', 'orang', 'gob', '##lok', 'ya', 'anies', 'bilang', 'teg', '##esin', 'mbak', 'nana', 'anies', 'tanggung', 'amanat', 'rakyat', 'tuntas', 'kayak', 'deh', 'meninggalkan', 'presiden']"
kong arif bandingkan tv siarin debat rcti menangin ganjar metro tvone kompas elsinta dll anies polingnya menang untung daya percaya banget poling n survei rakyatlah penentu ,2,anies,"['kong', 'arif', 'bandingkan', 'tv', 'sia', '##rin', 'debat', 'rcti', 'menang', '##in', 'ganja', '##r', 'metro', 'tvone', 'kompas', 'el', '##sin', '##ta', 'dll', 'anies', 'poli', '##ng', '##nya', 'menang', 'untung', 'daya', 'percaya', 'banget', 'poli', '##ng', 'n', 'survei', 'rakyat', '##lah', 'penentu']"
urusan debat pas menang dilawan tukang debat mahasiswa anies disodori materi menjabarkan detail realisasi pelaksanaan membutuhkan team kuat nasdem team ,2,anies,"['urusan', 'debat', 'pas', 'menang', 'dil', '##awan', 'tukang', 'debat', 'mahasiswa', 'anies', 'dis', '##odo', '##ri', 'materi', 'menjabarkan', 'detail', 'realisasi', 'pelaksanaan', 'membutuhkan', 'team', 'kuat', 'nasdem', 'team']"
otakmu cerdas menyikapi anies debat orang cerdas kecerdasan perasaan tim nomor malu capres jagoan bersikap prabowo ,2,anies,"['otak', '##mu', 'cerdas', 'menyikapi', 'anies', 'debat', 'orang', 'cerdas', 'kecerdasan', 'perasaan', 'tim', 'nomor', 'malu', 'capres', 'jagoan', 'bersikap', 'prabowo']"
contoh sikap anies kalem sifat beliau ,2,anies,"['contoh', 'sikap', 'anies', 'kalem', 'sifat', 'beliau']"
anies hitung an politik membela lepas rugi ,0,anies,"['anies', 'hitung', 'an', 'politik', 'membela', 'lepas', 'rugi']"
apapun dibawa anies bukti penagakan hukum rezim bermasalah sunstansinya anies menyerang prabowo prabowo bawa perasaan banget petahana lucu hahaha prabowo pendukungnya terjebak ,2,anies,"['apapun', 'dibawa', 'anies', 'bukti', 'pena', '##gak', '##an', 'hukum', 'rezim', 'bermasalah', 'sun', '##stan', '##sinya', 'anies', 'menyerang', 'prabowo', 'prabowo', 'bawa', 'perasaan', 'banget', 'peta', '##hana', 'lucu', 'hahaha', 'prabowo', 'pendukungnya', 'terjebak']"
salute anies berhasil membuka watak asli ,2,anies,"['salut', '##e', 'anies', 'berhasil', 'membuka', 'watak', 'asli']"
anies tipe pejabat perbuatannya sinkron gubernur jakarta memble kinerjanya angin kambinghitamkan ,1,anies,"['anies', 'tipe', 'pejabat', 'perbuatannya', 'sinkron', 'gubernur', 'jakarta', 'memb', '##le', 'kinerjanya', 'angin', 'kambing', '##hit', '##amkan']"
debat anies mengungguli capres ,1,anies,"['debat', 'anies', 'mengungg', '##uli', 'capres']"
lari partai nasdem pkb butuh anies gerindra suaranya bawa anies pilgub ,1,anies,"['lari', 'partai', 'nasdem', 'pkb', 'butuh', 'anies', 'gerindra', 'suaranya', 'bawa', 'anies', 'pilgub']"
anak bosnya cawapres rela banget memfitnah sebegitunya heh pengkhianat anies parpolmu tolol ,0,anies,"['anak', 'bos', '##nya', 'cawapres', 'rela', 'banget', 'memf', '##itnah', 'seb', '##egitu', '##nya', 'heh', 'pengkh', '##ianat', 'anies', 'parpol', '##mu', 'tolol']"
siapin narasi dicurangi pemilu curang anies keok feb ,0,anies,"['siap', '##in', 'narasi', 'dic', '##urang', '##i', 'pemilu', 'curang', 'anies', 'ke', '##ok', 'feb']"
jokowi menguntungkan bisnis keluarganya anies ,2,anies,"['jokowi', 'menguntungkan', 'bisnis', 'keluarganya', 'anies']"
namanya counter attack bro beliau dluan offensive anies ,0,anies,"['namanya', 'counter', 'attack', 'bro', 'beliau', 'dlu', '##an', 'off', '##ensi', '##ve', 'anies']"
posting tolong diteliti membuatmu malu anies baswedan gubenur dki jakarta ,0,anies,"['posting', 'tolong', 'diteliti', 'membuatmu', 'malu', 'anies', 'baswedan', 'gub', '##en', '##ur', 'dki', 'jakarta']"
ngknada urusan anies gih kalo lu dukung anies ,2,anies,"['ng', '##kn', '##ada', 'urusan', 'anies', 'gi', '##h', 'kalo', 'lu', 'dukung', 'anies']"
memutuskan golput eh pendukungnya anies nyebarin bau kecoa ya hahahha ,0,anies,"['memutuskan', 'golput', 'eh', 'pendukungnya', 'anies', 'ny', '##ebar', '##in', 'bau', 'kec', '##oa', 'ya', 'hahah', '##ha']"
bocah totol suruh pasang gambar prabowo pasang gambar anies awas lu sapa lu pecat ,0,anies,"['bocah', 'toto', '##l', 'suruh', 'pasang', 'gambar', 'prabowo', 'pasang', 'gambar', 'anies', 'awas', 'lu', 'sapa', 'lu', 'pec', '##at']"
jokowi anies heran kalo wowo pas debat kamaren kali jokowi keteteran palagi anies dahlah membanyaki joget biar dongkol banget ,1,anies,"['jokowi', 'anies', 'heran', 'kalo', 'wow', '##o', 'pas', 'debat', 'kamar', '##en', 'kali', 'jokowi', 'ket', '##eter', '##an', 'pala', '##gi', 'anies', 'dah', '##lah', 'memban', '##yaki', 'jog', '##et', 'biar', 'dong', '##kol', 'banget']"
wajah tampannya anies mendukung ,2,anies,"['wajah', 'tampan', '##nya', 'anies', 'mendukung']"
lupa sejarah ang nutrisi prabowo membantah anies prabowo bergabung pemerintah bisnis nya ngadat pilpres tuan andre bongak partai pelawak ,0,anies,"['lupa', 'sejarah', 'ang', 'nutrisi', 'prabowo', 'membantah', 'anies', 'prabowo', 'bergabung', 'pemerintah', 'bisnis', 'nya', 'nga', '##dat', 'pilpres', 'tuan', 'andre', 'bong', '##ak', 'partai', 'pel', '##awak']"
tertib ya pendukung prabowo salaman leluasa hadir mudah mengaturnya berdesak an beda banget anies dikerubuti jalan beliau susah semoga anies dil iindungi nya amin amin amin ,2,anies,"['tertib', 'ya', 'pendukung', 'prabowo', 'salam', '##an', 'leluasa', 'hadir', 'mudah', 'mengatur', '##nya', 'berdes', '##ak', 'an', 'beda', 'banget', 'anies', 'diker', '##ub', '##uti', 'jalan', 'beliau', 'susah', 'semoga', 'anies', 'dil', 'ii', '##nd', '##ungi', 'nya', 'amin', 'amin', 'amin']"
salut anies neko neko langsung dibuktikan ,2,anies,"['salut', 'anies', 'nek', '##o', 'nek', '##o', 'langsung', 'dibuktikan']"
wajah tampannya anies mendukung ,2,anies,"['wajah', 'tampan', '##nya', 'anies', 'mendukung']"
pengamat nih anies kader partai nasdem n pkb pemr konsisten anies lu okt ,2,anies,"['pengamat', 'nih', 'anies', 'kader', 'partai', 'nasdem', 'n', 'pkb', 'pemr', 'konsisten', 'anies', 'lu', 'okt']"
akun mendukung prabroro manis cuitannya anies berharap anies menyerang prabroro eh tissu bekas pilpres arisan keluarga ya seranglah hahhaa ,1,anies,"['akun', 'mendukung', 'prab', '##ror', '##o', 'manis', 'cu', '##itan', '##nya', 'anies', 'berharap', 'anies', 'menyerang', 'prab', '##ror', '##o', 'eh', 'tis', '##su', 'bekas', 'pilpres', 'arisan', 'keluarga', 'ya', 'serang', '##lah', 'hah', '##haa']"
dunia poling telepon sang jenderal minggu muncul hasil poling kayak anies prabowo ganjar ,1,anies,"['dunia', 'poli', '##ng', 'telepon', 'sang', 'jenderal', 'minggu', 'muncul', 'hasil', 'poli', '##ng', 'kayak', 'anies', 'prabowo', 'ganja', '##r']"
temukan berhala anies brhrp anies menang pemujaan penyembahan benci jokowi lupa anies didukung partai koalisi jokowi sisi mata uang menjungkalkan ,2,anies,"['temukan', 'berhala', 'anies', 'br', '##hr', '##p', 'anies', 'menang', 'pemujaan', 'penyembahan', 'benci', 'jokowi', 'lupa', 'anies', 'didukung', 'partai', 'koalisi', 'jokowi', 'sisi', 'mata', 'uang', 'menj', '##ungk', '##alkan']"
kader salah parpol faham etika pas malu mengambil wakil pelanggaran berat pas berusaha menekan anies pilkada didukungnja anies melaksanakan jnjinja amp melawan pas ,0,anies,"['kader', 'salah', 'parpol', 'faham', 'etika', 'pas', 'malu', 'mengambil', 'wakil', 'pelanggaran', 'berat', 'pas', 'berusaha', 'menekan', 'anies', 'pilkada', 'didukung', '##n', '##ja', 'anies', 'melaksanakan', 'j', '##n', '##jin', '##ja', 'amp', 'melawan', 'pas']"
kalo isu muncul tanda elektabilitas anies tetangga sebelah ketar ketir ,1,anies,"['kalo', 'isu', 'muncul', 'tanda', 'ele', '##kt', '##abilitas', 'anies', 'tetangga', 'sebelah', 'keta', '##r', 'keti', '##r']"
anies prabowo nih akademisi vs praktisi ,1,anies,"['anies', 'prabowo', 'nih', 'akademisi', 'vs', 'praktisi']"
menyerang terbuka kelemahan lwn memanfaatkannya serang ,0,anies,"['menyerang', 'terbuka', 'kelemahan', 'l', '##w', '##n', 'memanfaatkannya', 'serang']"
kemarin bajernya ganjar puji puji anies ya butuh teman berdemokrasi ah cepat keangkuhan runtuh ,0,anies,"['kemarin', 'baj', '##ernya', 'ganja', '##r', 'puji', 'puji', 'anies', 'ya', 'butuh', 'teman', 'berd', '##emo', '##kr', '##asi', 'ah', 'cepat', 'kean', '##g', '##ku', '##han', 'runtuh']"
tinggal pilihan ganjar anies ,1,anies,"['tinggal', 'pilihan', 'ganja', '##r', 'anies']"
iya prestasi beliau mimpin jakarta beliau reply baiknya baca seksama videonya tercantum kalo tercantum terlaksana pemimpin penuhin janji manis anies ,2,anies,"['iya', 'prestasi', 'beliau', 'mimpi', '##n', 'jakarta', 'beliau', 'reply', 'baiknya', 'baca', 'seksama', 'videonya', 'tercantum', 'kalo', 'tercantum', 'terlaksana', 'pemimpin', 'penuhi', '##n', 'janji', 'manis', 'anies']"
mas anies mas anies angin dikambing hitamkan ,1,anies,"['mas', 'anies', 'mas', 'anies', 'angin', 'dika', '##mb', '##ing', 'hitam', '##kan']"
sejarah dilupakan anies cnfy ,1,anies,"['sejarah', 'dilupakan', 'anies', 'cn', '##f', '##y']"
