full_text,cleaned_text,case_folding,normalisasi,affiliate,stemming,labeling
"@8radjamantak4 @ydr_amzl @Ani1850933 @pedagang_kritik Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa ?  1. anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem, pks dan pkb.  2. ganjar yg pasti di setir sebagai petugas partai pdip ?",Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,kuat kepempinan bijaksana anies presiden indonesia memimpin suku bangsa asli memiliki kekuatan politik area politik kendalikan nasdem pks pkb ganjar setir petugas partai pdip ,ganjar,kuat kepempinan bijaksana anies presiden indonesia pimpin suku bangsa asli milik kuat politik area politik kendali nasdem pks pkb ganjar setir tugas partai pdip,positive
@ganjarpranowo @mohmahfudmd Yakin banget dengan pak ganjar-mahfud bisa membawa perubahan Indonesia,Yakin banget dengan pak ganjar mahfud bisa membawa perubahan Indonesia,yakin banget dengan pak ganjar mahfud bisa membawa perubahan indonesia,banget ganjar mahfud membawa perubahan indonesia ,ganjar,banget ganjar mahfud bawa ubah indonesia,positive
@antaranews Pak Ganjar yg terbaik,Pak Ganjar yg terbaik,pak ganjar yg terbaik,ganjar terbaik ,ganjar,ganjar baik,positive
@Nikmatul_Sg @ganjarpranowo Karena keluarga adalah segala nya bagi pak Ganjar,Karena keluarga adalah segala nya bagi pak Ganjar,karena keluarga adalah segala nya bagi pak ganjar,keluarga nya ganjar ,ganjar,keluarga nya ganjar,neutral
@ganjarpranowo @mohmahfudmd Berkomitmen bersama pak ganjar untuk terus memajukan Indonesia,Berkomitmen bersama pak ganjar untuk terus memajukan Indonesia,berkomitmen bersama pak ganjar untuk terus memajukan indonesia,berkomitmen ganjar memajukan indonesia ,ganjar,komitmen ganjar maju indonesia,neutral
@Prihati_utami Semakin yakin pak Ganjar ini orangnya bijaksa dan juga cerdas  Ganjar Paling Tegas,Semakin yakin pak Ganjar ini orangnya bijaksa dan juga cerdas Ganjar Paling Tegas,semakin yakin pak ganjar ini orangnya bijaksa dan juga cerdas ganjar paling tegas,ganjar orangnya bijaksa cerdas ganjar ,ganjar,ganjar orang bijaksa cerdas ganjar,positive
@_zhyme All in ganjar-mahfud karena hanya Ganjar Paling Tegas👍🤟,All in ganjar mahfud karena hanya Ganjar Paling Tegas,all in ganjar mahfud karena hanya ganjar paling tegas,all ganjar mahfud ganjar ,ganjar,all ganjar mahfud ganjar,neutral
"Insya'allah AMANAH Bapak,Ibu, dan saudara/i semua..... Ganjar - Mahfud beda sekali dg capres yg lain... SAT - SET, TAS- TES, WAT - WET.....🤟🤟🤟 TUANKU ADALAH RAKYAT...🙏 #GanjarMahfudSatset  #GanjarSikatKorupsi  #GanjarMahfudM3nang https://t.co/GhjCrSh4Ig",Insya allah AMANAH Bapak Ibu dan saudara i semua Ganjar Mahfud beda sekali dg capres yg lain SAT SET TAS TES WAT WET TUANKU ADALAH RAKYAT Ganjar Mahfud Satset Ganjar Sikat Korupsi Ganjar Mahfud M nang,insya allah amanah bapak ibu dan saudara i semua ganjar mahfud beda sekali dg capres yg lain sat set tas tes wat wet tuanku adalah rakyat ganjar mahfud satset ganjar sikat korupsi ganjar mahfud m nang,insya allah amanah saudara i ganjar mahfud beda capres sat set tas tes wat wet tuanku rakyat ganjar mahfud satset ganjar sikat korupsi ganjar mahfud nang ,ganjar,insya allah amanah saudara i ganjar mahfud beda capres sat set tas tes wat wet tuanku rakyat ganjar mahfud satset ganjar sikat korupsi ganjar mahfud nang,negative
TPD Ganjar-Mahfud Sumut: Anak Muda Sudah Cerdas Lihat Pemimpin  https://t.co/a1gOwkWGrV,TPD Ganjar Mahfud Sumut Anak Muda Sudah Cerdas Lihat Pemimpin,tpd ganjar mahfud sumut anak muda sudah cerdas lihat pemimpin,tpd ganjar mahfud sumut anak muda cerdas lihat pemimpin ,ganjar,tpd ganjar mahfud sumut anak muda cerdas lihat pimpin,positive
"@KataNadiaaa Dari debat semalam, gue bener-bener percaya kalo Pak Ganjar bisa bawa perubahan yang positif!",Dari debat semalam gue bener bener percaya kalo Pak Ganjar bisa bawa perubahan yang positif,dari debat semalam gue bener bener percaya kalo pak ganjar bisa bawa perubahan yang positif,debat semalam gue percaya kalo ganjar bawa perubahan positif ,ganjar,debat malam gue percaya kalo ganjar bawa ubah positif,positive
@antaranews Pokoknya saya yakin Indonesia selanjutnya di tangan pak Ganjar lebih baik,Pokoknya saya yakin Indonesia selanjutnya di tangan pak Ganjar lebih baik,pokoknya saya yakin indonesia selanjutnya di tangan pak ganjar lebih baik,pokoknya indonesia tangan ganjar ,ganjar,pokok indonesia tangan ganjar,neutral
@ganjarpranowo @mohmahfudmd Bismillah pak Ganjar Mahfud terbaik dan programnya yang pasti akan bermanfaat dan bisa segera terealisasikan,Bismillah pak Ganjar Mahfud terbaik dan programnya yang pasti akan bermanfaat dan bisa segera terealisasikan,bismillah pak ganjar mahfud terbaik dan programnya yang pasti akan bermanfaat dan bisa segera terealisasikan,bismillah ganjar mahfud terbaik programnya bermanfaat terealisasikan ,ganjar,bismillah ganjar mahfud baik program manfaat realisasi,positive
@BANGSAygSUJUD @mpoklela7 @OppungTp @icikiwir_08 Bila Yang Dumaksud Pansus Orang Hilang Tahun 2009 Yang Rekomendasikan Pengadilan HAM adhoc dan Pimpin Pansus adalah Effendi Simbolon sedang Ganjar Pranowo menjabat  Wakil Ketua Komisi 2 Bidang Pemerintahan.,Bila Yang Dumaksud Pansus Orang Hilang Tahun Yang Rekomendasikan Pengadilan HAM adhoc dan Pimpin Pansus adalah Effendi Simbolon sedang Ganjar Pranowo menjabat Wakil Ketua Komisi Bidang Pemerintahan,bila yang dumaksud pansus orang hilang tahun yang rekomendasikan pengadilan ham adhoc dan pimpin pansus adalah effendi simbolon sedang ganjar pranowo menjabat wakil ketua komisi bidang pemerintahan,dumaksud pansus orang hilang rekomendasikan pengadilan ham adhoc pimpin pansus effendi simbolon ganjar pranowo menjabat wakil ketua komisi bidang pemerintahan ,ganjar,dumaksud pansus orang hilang rekomendasi adil ham adhoc pimpin pansus effendi simbolon ganjar pranowo jabat wakil ketua komisi bidang perintah,neutral
@_haye_ @aniesbaswedan Padahal Kalo Ganjar Menang mau ngelanjutin Program Jokowi....jadi ya sama saja Om.,Padahal Kalo Ganjar Menang mau ngelanjutin Program Jokowi jadi ya sama saja Om,padahal kalo ganjar menang mau ngelanjutin program jokowi jadi ya sama saja om,kalo ganjar menang ngelanjutin program jokowi ya om ,ganjar,kalo ganjar menang ngelanjutin program jokowi ya om,positive
@Dennysiregar7 Itulah Ganjar yg dgn ketegasan beliau mampu berbuat yg terbaik buat masyarakat yg dipimpinnya,Itulah Ganjar yg dgn ketegasan beliau mampu berbuat yg terbaik buat masyarakat yg dipimpinnya,itulah ganjar yg dgn ketegasan beliau mampu berbuat yg terbaik buat masyarakat yg dipimpinnya,ganjar ketegasan beliau berbuat terbaik masyarakat dipimpinnya ,ganjar,ganjar tegas beliau buat baik masyarakat pimpin,positive
@Prihati_utami Debat semalam benar-benar mengubah pandangan kita. Ganjar Pranowo menunjukkan ketegasannya yang mungkin belum sepenuhnya terlihat sebelumnya. 💪 GanjarPalingTegas,Debat semalam benar benar mengubah pandangan kita Ganjar Pranowo menunjukkan ketegasannya yang mungkin belum sepenuhnya terlihat sebelumnya Ganjar Paling Tegas,debat semalam benar benar mengubah pandangan kita ganjar pranowo menunjukkan ketegasannya yang mungkin belum sepenuhnya terlihat sebelumnya ganjar paling tegas,debat semalam mengubah pandangan ganjar pranowo ketegasannya sepenuhnya ganjar ,ganjar,debat malam ubah pandang ganjar pranowo tegas sepenuh ganjar,neutral
"Dalam setiap kesempatan, Ganjar-Mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama-nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar. #GanjarMahfudSatset  #paktelur https://t.co/kUbIlMpkvA",Dalam setiap kesempatan Ganjar Mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar Ganjar Mahfud Satset paktelur,dalam setiap kesempatan ganjar mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar ganjar mahfud satset paktelur,kesempatan ganjar mahfud lupa mengenalkan mengangkat nama nama brand lokal kalah berkualitas dibandingkan brand ganjar mahfud satset paktelur ,ganjar,sempat ganjar mahfud lupa kenal angkat nama nama brand lokal kalah kualitas banding brand ganjar mahfud satset paktelur,neutral
@ganjarpranowo @mohmahfudmd Pak ganjar mahfud setiap gagasannya selalu tegas dan mudah di pahami audience. Keren banget,Pak ganjar mahfud setiap gagasannya selalu tegas dan mudah di pahami audience Keren banget,pak ganjar mahfud setiap gagasannya selalu tegas dan mudah di pahami audience keren banget,ganjar mahfud gagasannya mudah pahami audience keren banget ,ganjar,ganjar mahfud gagas mudah paham audience keren banget,positive
@ganjarpranowo @mohmahfudmd Senang mendengar keyakinan  terhadap Pak Ganjar Mahfud. Semoga kepemimpinan beliau membawa kemajuan dan keunggulan bagi Indonesia. Bismillah untuk perjalanan menuju Indonesia yang unggul.,Senang mendengar keyakinan terhadap Pak Ganjar Mahfud Semoga kepemimpinan beliau membawa kemajuan dan keunggulan bagi Indonesia Bismillah untuk perjalanan menuju Indonesia yang unggul,senang mendengar keyakinan terhadap pak ganjar mahfud semoga kepemimpinan beliau membawa kemajuan dan keunggulan bagi indonesia bismillah untuk perjalanan menuju indonesia yang unggul,senang mendengar keyakinan ganjar mahfud semoga kepemimpinan beliau membawa kemajuan keunggulan indonesia bismillah perjalanan indonesia unggul ,ganjar,senang dengar yakin ganjar mahfud moga pimpin beliau bawa maju unggul indonesia bismillah jalan indonesia unggul,positive
@ganjarpranowo @mohmahfudmd Pak Ganjar tidak di ragukan lagi pemimpin yang penuh pengalaman dan tidak abu abu,Pak Ganjar tidak di ragukan lagi pemimpin yang penuh pengalaman dan tidak abu abu,pak ganjar tidak di ragukan lagi pemimpin yang penuh pengalaman dan tidak abu abu,ganjar ragukan pemimpin penuh pengalaman abu abu ,ganjar,ganjar ragu pimpin penuh alam abu abu,positive
"@Melihat_Indo Rakyat pasti menilai, pak Ganjar selalu tegas dan gagasannya selalu tepat sasaran",Rakyat pasti menilai pak Ganjar selalu tegas dan gagasannya selalu tepat sasaran,rakyat pasti menilai pak ganjar selalu tegas dan gagasannya selalu tepat sasaran,rakyat menilai ganjar gagasannya sasaran ,ganjar,rakyat nilai ganjar gagas sasar,positive
Hatiku di ganjar tapi kenapa kamu di banteng merah sih😭,Hatiku di ganjar tapi kenapa kamu di banteng merah sih,hatiku di ganjar tapi kenapa kamu di banteng merah sih,hatiku ganjar banteng merah sih ,ganjar,hati ganjar banteng merah sih,neutral
"@ekokuntadhi1 Jateng pertama tentunya bangga dong pak ganjar, kok jadi malu? Lucu nange lu tong",Jateng pertama tentunya bangga dong pak ganjar kok jadi malu Lucu nange lu tong,jateng pertama tentunya bangga dong pak ganjar kok jadi malu lucu nange lu tong,jateng bangga ganjar malu lucu nange lu tong ,ganjar,jateng bangga ganjar malu lucu nange lu tong,positive
@ganjarpranowo @mohmahfudmd Mantap pak komitmen bapak berdua sudah tidak perlu die ragukan lagi. Program 2 pak Ganjar sudah bnyak terbukti,Mantap pak komitmen bapak berdua sudah tidak perlu die ragukan lagi Program pak Ganjar sudah bnyak terbukti,mantap pak komitmen bapak berdua sudah tidak perlu die ragukan lagi program pak ganjar sudah bnyak terbukti,mantap komitmen berdua die ragukan program ganjar terbukti ,ganjar,mantap komitmen dua die ragu program ganjar bukti,positive
"@Melihat_Indo di debat kemarin, keliatan banget kalau pak ganjar paling siap dan paling mengertiin keinginan rakyat.",di debat kemarin keliatan banget kalau pak ganjar paling siap dan paling mengertiin keinginan rakyat,di debat kemarin keliatan banget kalau pak ganjar paling siap dan paling mengertiin keinginan rakyat,debat kemarin banget ganjar mengertiin rakyat ,ganjar,debat kemarin banget ganjar mengertiin rakyat,neutral
Ganjar dan Mahfud berkomitmen untuk memberikan itu. @pearlmilkteapl1  GanjarPranowo Presiden2024 https://t.co/Kx32Jlxt7f,Ganjar dan Mahfud berkomitmen untuk memberikan itu Ganjar Pranowo Presiden,ganjar dan mahfud berkomitmen untuk memberikan itu ganjar pranowo presiden,ganjar mahfud berkomitmen ganjar pranowo presiden ,ganjar,ganjar mahfud komitmen ganjar pranowo presiden,neutral
@SimanjuntakElly Pilih Ganjar Mahfud.,Pilih Ganjar Mahfud,pilih ganjar mahfud,pilih ganjar mahfud ,ganjar,pilih ganjar mahfud,neutral
@ekokuntadhi1 Kita harus bangga punya pemimpin kayak Pak Ganjar yang ngerjain pemerintahan dengan hati!,Kita harus bangga punya pemimpin kayak Pak Ganjar yang ngerjain pemerintahan dengan hati,kita harus bangga punya pemimpin kayak pak ganjar yang ngerjain pemerintahan dengan hati,bangga pemimpin kayak ganjar ngerjain pemerintahan hati ,ganjar,bangga pimpin kayak ganjar ngerjain perintah hati,positive
"@ganjarpranowo @mohmahfudmd dari debat semalam saya semakin yakin pak Ganjar Mahfud memang yang terbaik, bismillah bersama menuju Indonesia unggul",dari debat semalam saya semakin yakin pak Ganjar Mahfud memang yang terbaik bismillah bersama menuju Indonesia unggul,dari debat semalam saya semakin yakin pak ganjar mahfud memang yang terbaik bismillah bersama menuju indonesia unggul,debat semalam ganjar mahfud terbaik bismillah indonesia unggul ,ganjar,debat malam ganjar mahfud baik bismillah indonesia unggul,positive
@ganjarpranowo @mohmahfudmd Pak Ganjar memang terbaikk sekalii untuk memimpin bangsa kita,Pak Ganjar memang terbaikk sekalii untuk memimpin bangsa kita,pak ganjar memang terbaikk sekalii untuk memimpin bangsa kita,ganjar terbaikk memimpin bangsa ,ganjar,ganjar terbaikk pimpin bangsa,neutral
@Melihat_Indo Emang pak Ganjar terbaik dan saat menyampaikan gagasannya punn sangat apik dan mudah dimengerti,Emang pak Ganjar terbaik dan saat menyampaikan gagasannya punn sangat apik dan mudah dimengerti,emang pak ganjar terbaik dan saat menyampaikan gagasannya punn sangat apik dan mudah dimengerti,ganjar terbaik gagasannya apik mudah dimengerti ,ganjar,ganjar baik gagas apik mudah erti,positive
