full_text,cleaned_text,case_folding,normalisasi,affiliate,stemming,labeling
"@Fahrihamzah Sekarang Prabowo jg bareng, termasuk anda...",Sekarang Prabowo jg bareng termasuk anda,sekarang prabowo jg bareng termasuk anda,prabowo bareng ,prabowo,prabowo bareng,neutral
"@gilinganbesi @Hasbil_Lbs @prabowo @aniesbaswedan Salah satu syarat tak tertulis jadi politisi memang harus kuat malu, kuat bebal, kuat bekelit, kuat adu argument justru orang² seperti itu yg bakal menang, ibarat kita sekolah nih yg nyebelin yg cari muka itu yg terkenal ya gak? 😁",Salah satu syarat tak tertulis jadi politisi memang harus kuat malu kuat bebal kuat bekelit kuat adu argument justru orang seperti itu yg bakal menang ibarat kita sekolah nih yg nyebelin yg cari muka itu yg terkenal ya gak,salah satu syarat tak tertulis jadi politisi memang harus kuat malu kuat bebal kuat bekelit kuat adu argument justru orang seperti itu yg bakal menang ibarat kita sekolah nih yg nyebelin yg cari muka itu yg terkenal ya gak,salah syarat tertulis politisi kuat malu kuat bebal kuat bekelit kuat adu argument orang menang sekolah nih menyebalkan cari muka terkenal ya ,prabowo,salah syarat tulis politis kuat malu kuat bebal kuat bekelit kuat adu argument orang menang sekolah nih sebal cari muka kenal ya,positive
"@savicali Yang melanjutkan kan Gibran. Prabowo hanya berapa bulan aja setelah dilantik lalu berhalangan tetap, naskah Gibran sang penerus aslinya.",Yang melanjutkan kan Gibran Prabowo hanya berapa bulan aja setelah dilantik lalu berhalangan tetap naskah Gibran sang penerus aslinya,yang melanjutkan kan gibran prabowo hanya berapa bulan aja setelah dilantik lalu berhalangan tetap naskah gibran sang penerus aslinya,melanjutkan gibran prabowo dilantik berhalangan naskah gibran sang penerus aslinya ,prabowo,lanjut gibran prabowo lantik halang naskah gibran sang terus asli,neutral
"@jansen_jsp @prabowo Dia di calonkan oleh pendukungnya sbg representasi suara rakyat dan sebuah kewajiban memperjuangkan aspirasi para pendukungnya. Gak ad urusan dgn siapa yg jd lawannya. Namanya jg kompetisi. Fyi, simak video di bawah ini hsl pengamatan psikologi dr setiap capres. https://t.co/16EJi5QDi8",Dia di calonkan oleh pendukungnya sbg representasi suara rakyat dan sebuah kewajiban memperjuangkan aspirasi para pendukungnya Gak ad urusan dgn siapa yg jd lawannya Namanya jg kompetisi Fyi simak video di bawah ini hsl pengamatan psikologi dr setiap capres,dia di calonkan oleh pendukungnya sbg representasi suara rakyat dan sebuah kewajiban memperjuangkan aspirasi para pendukungnya gak ad urusan dgn siapa yg jd lawannya namanya jg kompetisi fyi simak video di bawah ini hsl pengamatan psikologi dr setiap capres,calonkan pendukungnya representasi suara rakyat kewajiban memperjuangkan aspirasi pendukungnya urusan lawannya namanya kompetisi fyi simak video hsl pengamatan psikologi capres ,prabowo,calon dukung representasi suara rakyat wajib juang aspirasi dukung urus lawan nama kompetisi fyi simak video hsl amat psikologi capres,positive
@FurqanIbr64677 tokoh PDIP sekalipun terlihat bahagia sekali saat Anies balas skakmat Prabowo.,tokoh PDIP sekalipun terlihat bahagia sekali saat Anies balas skakmat Prabowo,tokoh pdip sekalipun terlihat bahagia sekali saat anies balas skakmat prabowo,tokoh pdip bahagia anies balas skakmat prabowo ,prabowo,tokoh pdip bahagia anies balas skakmat prabowo,positive
"@Metro_TV @prabowo @aniesbaswedan Mendingan gausah ikut pilpres lagi pak, mending istirahat aja",Mendingan gausah ikut pilpres lagi pak mending istirahat aja,mendingan gausah ikut pilpres lagi pak mending istirahat aja,mendingan pilpres mending istirahat ,prabowo,mending pilpres mending istirahat,neutral
@FayaAtika Prabowo otaknya harus di upgrade,Prabowo otaknya harus di upgrade,prabowo otaknya harus di upgrade,prabowo otaknya upgrade ,prabowo,prabowo otak upgrade,neutral
"@tempodotco Astaga, Pak Prabowo, Anda memang sosok super mega hebat!",Astaga Pak Prabowo Anda memang sosok super mega hebat,astaga pak prabowo anda memang sosok super mega hebat,astaga prabowo sosok super mega hebat ,prabowo,astaga prabowo sosok super mega hebat,positive
@edi_muchlis @Resty_J_Cayah @Dahnilanzar @prabowo Ooooalaah mbaaah mbaaah..,Ooalaah mbah mbah,ooalaah mbah mbah,ooalaah mbah mbah ,prabowo,ooalaah mbah mbah,neutral
"@YuHelmi877816 @sabaradi78 @GeiszChalifah Justru RK jadi pelatih disitu, beliau yang melatih public speaking dan sia-sia karena prabowo nunjukkin sifat aslinya yang gabisa kontrol emosi hahaha",Justru RK jadi pelatih disitu beliau yang melatih public speaking dan sia sia karena prabowo nunjukkin sifat aslinya yang gabisa kontrol emosi hahaha,justru rk jadi pelatih disitu beliau yang melatih public speaking dan sia sia karena prabowo nunjukkin sifat aslinya yang gabisa kontrol emosi hahaha,rk pelatih disitu beliau melatih public speaking sia sia prabowo nunjukkin sifat aslinya kontrol emosi hahaha ,prabowo,rk latih situ beliau latih public speaking sia sia prabowo nunjukkin sifat asli kontrol emosi hahaha,negative
@zy_zy_its_me Politik itu penghianatan... yang gak siap dihianati gak sah masuk politik... pak prabowo faham itu... anda belajar lagi...,Politik itu penghianatan yang gak siap dihianati gak sah masuk politik pak prabowo faham itu anda belajar lagi,politik itu penghianatan yang gak siap dihianati gak sah masuk politik pak prabowo faham itu anda belajar lagi,politik penghianatan dihianati sah masuk politik prabowo faham belajar ,prabowo,politik penghianatan dihianati sah masuk politik prabowo faham ajar,neutral
"@Metro_TV @prabowo @aniesbaswedan Takut banget loh liatnya, sabar ya pak anies",Takut banget loh liatnya sabar ya pak anies,takut banget loh liatnya sabar ya pak anies,takut banget loh lihatnya sabar ya anies ,prabowo,takut banget loh lihat sabar ya anies,positive
@ahora_baila @Rohmat31255240 @Fahrihamzah ☕☕☕ngopi mas klau masalah ham udh terbukti korban ada pelaku juga ada apa lagi Prabowo genit sekali mau tiap 5th ikut pemilu tahu kalah melulu🤫😀😀,ngopi mas klau masalah ham udh terbukti korban ada pelaku juga ada apa lagi Prabowo genit sekali mau tiap th ikut pemilu tahu kalah melulu,ngopi mas klau masalah ham udh terbukti korban ada pelaku juga ada apa lagi prabowo genit sekali mau tiap th ikut pemilu tahu kalah melulu,ngopi mas ham terbukti korban pelaku prabowo genit pemilu kalah melulu ,prabowo,ngopi mas ham bukti korban laku prabowo genit milu kalah melulu,negative
@Hasbil_Lbs @prabowo @aniesbaswedan Demokrat jg blm dewasa. Pundungan. Gk jd diajak nyawapres ngambek..,Demokrat jg blm dewasa Pundungan Gk jd diajak nyawapres ngambek,demokrat jg blm dewasa pundungan gk jd diajak nyawapres ngambek,demokrat dewasa pundungan diajak nyawapres mengambek ,prabowo,demokrat dewasa pundung ajak nyawapres ambek,positive
@MuhiqR @choymarkochoy @PramukhtikoS @NohCeukenohhh @Putri96960977 @Mayapada_1108 @Malika6027 @stacitarpeta18 @AnKiiim_ @Azri_Ardhani @BarisanOpOsisi Pak prabowo ngece,Pak prabowo ngece,pak prabowo ngece,prabowo ngece ,prabowo,prabowo ngece,neutral
@KataNadiaaa Kumpulan para sircel Prabowo yang suka melanggar seperti kolam keruh yang hanya menunjukkan ketidakmampuan mereka untuk berpartisipasi secara fair dan bermartabat,Kumpulan para sircel Prabowo yang suka melanggar seperti kolam keruh yang hanya menunjukkan ketidakmampuan mereka untuk berpartisipasi secara fair dan bermartabat,kumpulan para sircel prabowo yang suka melanggar seperti kolam keruh yang hanya menunjukkan ketidakmampuan mereka untuk berpartisipasi secara fair dan bermartabat,kumpulan sircel prabowo suka melanggar kolam keruh ketidakmampuan berpartisipasi fair bermartabat ,prabowo,kumpul sircel prabowo suka langgar kolam keruh ketidakmampuan partisipasi fair martabat,negative
"Pendukung Pak Prabowo terkaing2 sambil coba menutupi kekalahan debat kemaren dg menyerang membabi buta. Politik santuy....? Ah ternyata ibarat Boneka Tirek, terlihat lucu padahal BUAS.... https://t.co/eAT4oqu2si",Pendukung Pak Prabowo terkaing sambil coba menutupi kekalahan debat kemaren dg menyerang membabi buta Politik santuy Ah ternyata ibarat Boneka Tirek terlihat lucu padahal BUAS,pendukung pak prabowo terkaing sambil coba menutupi kekalahan debat kemaren dg menyerang membabi buta politik santuy ah ternyata ibarat boneka tirek terlihat lucu padahal buas,pendukung prabowo terkaing coba menutupi kekalahan debat kemarin menyerang membabi buta politik santuy ah boneka tirek lucu buas ,prabowo,dukung prabowo kaing coba tutup kalah debat kemarin serang babi buta politik santuy ah boneka tirek lucu buas,negative
@tempodotco @prabowo Mnding tak usah ada lembaga negara bubarkan semua lembaga  negara percuma ada kyk gitu kalo bikin UU semua di langgar ..,Mnding tak usah ada lembaga negara bubarkan semua lembaga negara percuma ada kyk gitu kalo bikin UU semua di langgar,mnding tak usah ada lembaga negara bubarkan semua lembaga negara percuma ada kyk gitu kalo bikin uu semua di langgar,mending lembaga negara bubarkan lembaga negara kayak kalo bikin uu langgar ,prabowo,mending lembaga negara bubar lembaga negara kayak kalo bikin uu langgar,neutral
@Hasbil_Lbs @aniesbaswedan @prabowo Jangan ngayal lu,Jangan ngayal lu,jangan ngayal lu,mengkhayal lu ,prabowo,khayal lu,neutral
"@rprtma @PartaiSocmed @prabowo Nah itu dia, ketiganya kurang sempurna, sudah dapat sih yang akan dipilih. Disini saya merasa kecewa karena ketidak netralan partai socmed, dulu teriak apa, sekarang teriak apa.",Nah itu dia ketiganya kurang sempurna sudah dapat sih yang akan dipilih Disini saya merasa kecewa karena ketidak netralan partai socmed dulu teriak apa sekarang teriak apa,nah itu dia ketiganya kurang sempurna sudah dapat sih yang akan dipilih disini saya merasa kecewa karena ketidak netralan partai socmed dulu teriak apa sekarang teriak apa,ketiganya sempurna sih dipilih kecewa ketidak netralan partai socmed teriak teriak ,prabowo,tiga sempurna sih pilih kecewa tidak netral partai socmed teriak teriak,positive
@HarryUsman01 @xandreanda @PartaiSocmed @aniesbaswedan @prabowo Semoga bisa selesai...jadi heran koq gak ada capres lain yg berani angkat isu ini ??apakah karena isu ini bersinggungan dgn rezim skr ?,Semoga bisa selesai jadi heran koq gak ada capres lain yg berani angkat isu ini apakah karena isu ini bersinggungan dgn rezim skr,semoga bisa selesai jadi heran koq gak ada capres lain yg berani angkat isu ini apakah karena isu ini bersinggungan dgn rezim skr,semoga selesai heran capres berani angkat isu isu bersinggungan rezim ,prabowo,moga selesai heran capres berani angkat isu isu singgung rezim,positive
@Gerindra @prabowo Bisnis ketum kalian aman? 😁,Bisnis ketum kalian aman,bisnis ketum kalian aman,bisnis ketum aman ,prabowo,bisnis tum aman,positive
@Dennysiregar7 Ngeri sekali Pak Prabowo segitunya ingin menjadi pemimpin sampai-sampai tiga kali pun dilaluinya,Ngeri sekali Pak Prabowo segitunya ingin menjadi pemimpin sampai sampai tiga kali pun dilaluinya,ngeri sekali pak prabowo segitunya ingin menjadi pemimpin sampai sampai tiga kali pun dilaluinya,ngeri prabowo sebegitunya pemimpin kali dilaluinya ,prabowo,ngeri prabowo begitu pimpin kali lalu,negative
Apa komen si @prabowo setelah lihat dirinya sendiri,Apa komen si setelah lihat dirinya sendiri,apa komen si setelah lihat dirinya sendiri,komen sih lihat ,prabowo,komen sih lihat,neutral
@tvOneNews INDONESIA MAJU ber DAULAT bersama PRABOWO GIBRAN,INDONESIA MAJU ber DAULAT bersama PRABOWO GIBRAN,indonesia maju ber daulat bersama prabowo gibran,indonesia maju ber daulat prabowo gibran ,prabowo,indonesia maju ber daulat prabowo gibran,positive
@edi_muchlis @Resty_J_Cayah @Dahnilanzar @prabowo Di sini mulai....,Di sini mulai,di sini mulai,,prabowo,,neutral
@tvOneNews Pak Prabowo Gibran sosok pemimpin idaman rakyat banget,Pak Prabowo Gibran sosok pemimpin idaman rakyat banget,pak prabowo gibran sosok pemimpin idaman rakyat banget,prabowo gibran sosok pemimpin idaman rakyat banget ,prabowo,prabowo gibran sosok pimpin idam rakyat banget,neutral
"@PartaiSocmed @aniesbaswedan @prabowo terserah kau lah suka” kau. tapi aku jadi ngerti, oh kasusnya harun al rasyid ini sampe sekarang belum terungkap",terserah kau lah suka kau tapi aku jadi ngerti oh kasusnya harun al rasyid ini sampe sekarang belum terungkap,terserah kau lah suka kau tapi aku jadi ngerti oh kasusnya harun al rasyid ini sampe sekarang belum terungkap,terserah kau suka kau mengerti oh kasusnya harun al rasyid terungkap ,prabowo,serah kau suka kau erti oh kasus harun al rasyid ungkap,neutral
"@GheaJhanaLie7 @prabowo Timbul tenggelam, pendukung tenggelam dia yang timbul 😤 siap mati lg, bangke 🤣",Timbul tenggelam pendukung tenggelam dia yang timbul siap mati lg bangke,timbul tenggelam pendukung tenggelam dia yang timbul siap mati lg bangke,timbul tenggelam pendukung tenggelam timbul mati bangkai ,prabowo,timbul tenggelam dukung tenggelam timbul mati bangkai,negative
@winangun_s57362 @andre_rosiade Kita dukung @prabowo untuk jadi pebisnis saja. Tujuannya biar bisnis jalan kan? Ya udah saya dukung. Untuk presiden.... Ya negara ini tidak untuk bisnis pribadi.,Kita dukung untuk jadi pebisnis saja Tujuannya biar bisnis jalan kan Ya udah saya dukung Untuk presiden Ya negara ini tidak untuk bisnis pribadi,kita dukung untuk jadi pebisnis saja tujuannya biar bisnis jalan kan ya udah saya dukung untuk presiden ya negara ini tidak untuk bisnis pribadi,dukung pebisnis tujuannya biar bisnis jalan ya dukung presiden ya negara bisnis pribadi ,prabowo,dukung bisnis tuju biar bisnis jalan ya dukung presiden ya negara bisnis pribadi,positive
"@Metro_TV @prabowo @aniesbaswedan Katanya menghormati lawan, tapi kok ini mengejek terus sih",Katanya menghormati lawan tapi kok ini mengejek terus sih,katanya menghormati lawan tapi kok ini mengejek terus sih,menghormati lawan mengejek sih ,prabowo,hormat lawan ejek sih,negative
"@zy_zy_its_me Ada jutaan rakyat ikut berjasa untuk pak prabowo, walaupun itu uang receh tapi mereka tulus supaya pak prabowo jadi presiden saat itu.. https://t.co/sOQum0juDL",Ada jutaan rakyat ikut berjasa untuk pak prabowo walaupun itu uang receh tapi mereka tulus supaya pak prabowo jadi presiden saat itu,ada jutaan rakyat ikut berjasa untuk pak prabowo walaupun itu uang receh tapi mereka tulus supaya pak prabowo jadi presiden saat itu,jutaan rakyat berjasa prabowo uang receh tulus prabowo presiden ,prabowo,juta rakyat jasa prabowo uang receh tulus prabowo presiden,positive
Woi @prabowo bisa gak loe tertibkan buzzer loe,Woi bisa gak loe tertibkan buzzer loe,woi bisa gak loe tertibkan buzzer loe,woi lo tertibkan buzzer lo ,prabowo,woi lo tertib buzzer lo,neutral
@BANGSAygSUJUD @alextham878 @Lembayung071 @mpoklela7 @NoMeycan @Kimberley_2024 @Minietweets_ @bengkeldodo @P4P4B0W0_2024 @ignasbowo Prabowo otaknya harus di upgrade😂😂😂,Prabowo otaknya harus di upgrade,prabowo otaknya harus di upgrade,prabowo otaknya upgrade ,prabowo,prabowo otak upgrade,neutral
@zy_zy_its_me Kalau saya jadi pak prabowo sya tidak akan nyalon lagi dan akan mendukung pak anis,Kalau saya jadi pak prabowo sya tidak akan nyalon lagi dan akan mendukung pak anis,kalau saya jadi pak prabowo sya tidak akan nyalon lagi dan akan mendukung pak anis,prabowo nyalon mendukung anis ,prabowo,prabowo nyalon dukung anis,positive
"Ini sih yg bnr logikanya pak anies dn pak prabowo pasti punya kontrak politik selama pak anis menjabat gubernur DKI, dn pak anies menuntaskan periodenya gak kya pak jokowi yg dtg ke ibu mega meminta rekomendasi jd capres 2019, pdhal msa jabtn pak jokowi jd gubernur DKI blm habis",Ini sih yg bnr logikanya pak anies dn pak prabowo pasti punya kontrak politik selama pak anis menjabat gubernur DKI dn pak anies menuntaskan periodenya gak kya pak jokowi yg dtg ke ibu mega meminta rekomendasi jd capres pdhal msa jabtn pak jokowi jd gubernur DKI blm habis,ini sih yg bnr logikanya pak anies dn pak prabowo pasti punya kontrak politik selama pak anis menjabat gubernur dki dn pak anies menuntaskan periodenya gak kya pak jokowi yg dtg ke ibu mega meminta rekomendasi jd capres pdhal msa jabtn pak jokowi jd gubernur dki blm habis,sih logikanya anies prabowo kontrak politik anis menjabat gubernur dki anies menuntaskan periodenya kaya jokowi mega rekomendasi capres jabtn jokowi gubernur dki habis ,prabowo,sih logika anies prabowo kontrak politik anis jabat gubernur dki anies tuntas periode kaya jokowi mega rekomendasi capres jabtn jokowi gubernur dki habis,positive
@PartaiSocmed Yaampun salfok sama mimik wajah prabowo saat pak Anies menjelaskan,Yaampun salfok sama mimik wajah prabowo saat pak Anies menjelaskan,yaampun salfok sama mimik wajah prabowo saat pak anies menjelaskan,yaampun salah fokus mimik wajah prabowo anies ,prabowo,yaampun salah fokus mimik wajah prabowo anies,negative
@cobeh2022 Tlg jangan bilangin pk Prabowo ya kl thn 2029 nnti ada pilpres lagi.,Tlg jangan bilangin pk Prabowo ya kl thn nnti ada pilpres lagi,tlg jangan bilangin pk prabowo ya kl thn nnti ada pilpres lagi,tolong bilang pakai prabowo ya kalo pilpres ,prabowo,tolong bilang pakai prabowo ya kalo pilpres,neutral
"degdegan bgt tiap pak prabowo ngomong, Pakkkk udah pak...."" 🥲""",degdegan bgt tiap pak prabowo ngomong Pakk udah pak,degdegan bgt tiap pak prabowo ngomong pakk udah pak,degdegan banget prabowo mengomong pakk ,prabowo,degdegan banget prabowo omong pakk,neutral
"@fajarnugros Narasinya di lebih2 kan lgi di blg pendukungnya prabowo yg faktanya, itu ank msih bocah kelas 1 smp yg lagi nonton org demo, kampanye pilkada jkt cba dia ulang di pilpres, dia lupa kinerjanya waktu menjabat di jkt, yg tanpa solusi n slalu cari kambing hitam, dia cma jago ngomong",Narasinya di lebih kan lgi di blg pendukungnya prabowo yg faktanya itu ank msih bocah kelas smp yg lagi nonton org demo kampanye pilkada jkt cba dia ulang di pilpres dia lupa kinerjanya waktu menjabat di jkt yg tanpa solusi n slalu cari kambing hitam dia cma jago ngomong,narasinya di lebih kan lgi di blg pendukungnya prabowo yg faktanya itu ank msih bocah kelas smp yg lagi nonton org demo kampanye pilkada jkt cba dia ulang di pilpres dia lupa kinerjanya waktu menjabat di jkt yg tanpa solusi n slalu cari kambing hitam dia cma jago ngomong,narasinya bilang pendukungnya prabowo faktanya anak bocah kelas menonton orang demo kampanye pilkada jakarta coba ulang pilpres lupa kinerjanya menjabat jakarta solusi n cari kambing hitam jago mengomong ,prabowo,narasi bilang dukung prabowo fakta anak bocah kelas tonton orang demo kampanye pilkada jakarta coba ulang pilpres lupa kerja jabat jakarta solusi n cari kambing hitam jago omong,neutral
@Hasbil_Lbs @aniesbaswedan Kebohongan yg kamu lakukan ini @Hasbil_Lbs bisa membuat Prabowo kalah dengan memalukan di Pilpres 2024 ini.,Kebohongan yg kamu lakukan ini bisa membuat Prabowo kalah dengan memalukan di Pilpres ini,kebohongan yg kamu lakukan ini bisa membuat prabowo kalah dengan memalukan di pilpres ini,kebohongan lakukan prabowo kalah memalukan pilpres ,prabowo,bohong laku prabowo kalah malu pilpres,negative
"Berantemnya kurang semangat, ayo lebih semangat... . Gempa gede terasa . Prabowo Gibran perlu ANGER MANAGEMENT atau konsul dulu ke psikolog . Indonesia forever  . . . Gw cm bisa kasih semangat 🤗 https://t.co/8sdOpGqOFJ",Berantemnya kurang semangat ayo lebih semangat Gempa gede terasa Prabowo Gibran perlu ANGER MANAGEMENT atau konsul dulu ke psikolog Indonesia forever Gw cm bisa kasih semangat,berantemnya kurang semangat ayo lebih semangat gempa gede terasa prabowo gibran perlu anger management atau konsul dulu ke psikolog indonesia forever gw cm bisa kasih semangat,berantemnya semangat ayo semangat gempa gede prabowo gibran anger management konsultasi psikolog indonesia forever gue kasih semangat ,prabowo,antem semangat ayo semangat gempa gede prabowo gibran anger management konsultasi psikolog indonesia forever gue kasih semangat,positive
"@GeiszChalifah @MbahDila76 Yg jadi pertanyaan...,  Itu barisan yg dibelakang mereka ngapain aja ya??? Tokoh2 hueebatt lho mereka2 itu 🤭 @Fahrihamzah  @Yusrilihza_Mhd  @SBYudhoyono  @Haikal_Hassan   Kalo si @andre_rosiade ama si @Dahnilanzar mahh jongos @prabowo doank ga masuk itungan 😂🤣😂",Yg jadi pertanyaan Itu barisan yg dibelakang mereka ngapain aja ya Tokoh hueebatt lho mereka itu Kalo si ama si mahh jongos doank ga masuk itungan,yg jadi pertanyaan itu barisan yg dibelakang mereka ngapain aja ya tokoh hueebatt lho mereka itu kalo si ama si mahh jongos doank ga masuk itungan,barisan dibelakang mengapai ya tokoh hueebatt lho kalo sih sih mah jongos doang masuk hitungan ,prabowo,baris belakang kapai ya tokoh hueebatt lho kalo sih sih mah jongos doang masuk hitung,negative
"@doelpaten Saya salah pencet,,, belum baca langsung klik..... Harusnya pilih pasangan @prabowo @gibran_tweet",Saya salah pencet belum baca langsung klik Harusnya pilih pasangan,saya salah pencet belum baca langsung klik harusnya pilih pasangan,salah pencet baca langsung klik pilih pasangan ,prabowo,salah pencet baca langsung klik pilih pasang,positive
"@Yanua02 @haekalrast @hariqosatria @Dahnilanzar Bapak ini tidak paham konteks, mau memframing ke hal yg negatif hal yg sebenarnya kamu sudah paham maksudnya. Logikanya pak Prabowo itu mau nyapres trs bikin statemen seperti yg bapak maksud, apa kmu pikir Prabowo sedangkal yg kamu pikir pak ? Maaf pak, saya menolak koplak",Bapak ini tidak paham konteks mau memframing ke hal yg negatif hal yg sebenarnya kamu sudah paham maksudnya Logikanya pak Prabowo itu mau nyapres trs bikin statemen seperti yg bapak maksud apa kmu pikir Prabowo sedangkal yg kamu pikir pak Maaf pak saya menolak koplak,bapak ini tidak paham konteks mau memframing ke hal yg negatif hal yg sebenarnya kamu sudah paham maksudnya logikanya pak prabowo itu mau nyapres trs bikin statemen seperti yg bapak maksud apa kmu pikir prabowo sedangkal yg kamu pikir pak maaf pak saya menolak koplak,paham konteks memframing negatif paham maksudnya logikanya prabowo nyapres bikin statemen maksud pikir prabowo sedangkal pikir maaf menolak kocak ,prabowo,paham konteks memframing negatif paham maksud logika prabowo nyapres bikin statemen maksud pikir prabowo dangkal pikir maaf tolak kocak,negative
